,Temp-int,Press-int,Humid-int,Temp-ext,Press-ext,Humid-ext,TGS20,TGS02,SGP,SpA410,SpB435,SpC460,SpD485,SpE510,SpF535,SpG560,SpH585,SpR610,SpI645,SpS680,SpJ705,SpT730,SpU760,SpV810,SpW860,SpK900,SpL940
20799,12.383920287730112,972.5930963740491,54.21227246036818,11.876704345276133,973.1922724603681,57.26528258957101,561.1960143865056,2653.75282589571,112.0,2.27226185798645,1.0007752180099487,0.7902707457542419,0.8125736713409424,4.217780113220215,7.5976080894470215,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,0.35291603207588196,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.7185888290405273,2.6577043533325195,0.844294548034668
18119,14.154802977400768,983.7727955338988,54.60720446610115,13.847204466101152,984.2224014887004,48.335159805089624,430.0,2355.0,114.0,5.680654525756836,1.0007752180099487,0.7902707457542419,0.8125736713409424,5.061336517333984,9.768353462219238,1.3493454456329346,1.278481364250183,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,0.964445948600769,5.877471754111438e-39,0.790307343006134,2.8743553161621094,2.1261634826660156,0.844294548034668
13119,18.111532891055454,1004.4511735764828,70.93477833045272,17.871173576482725,1004.5389220562818,62.52540132683364,533.2071862914546,1500.5856274170908,111.0,8.638677391597039,2.0015504360198975,0.7902707457542419,0.8125736713409424,5.904892444610596,13.024471282958984,2.2489089965820312,1.9618694204213143,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.928891897201538,5.877471754111438e-39,1.580614686012268,5.748710632324219,2.6577043533325195,0.844294548034668
26797,14.310367775169407,1008.411357939087,56.30002829039764,13.83038192036823,1008.8012447774964,54.06898154568472,1286.9872693210589,3314.0,115.0,5.877471754111438e-39,1.0007752180099487,0.7902707457542419,5.877471754111438e-39,2.530668258666992,4.341490268707275,0.4497818052768707,0.42616045475006104,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.001016458185902569,3.1892452239990234,1.688589096069336
10709,12.96,1000.76,56.67,12.32,1001.56,51.3,2234.0,3792.0,116.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0853725671768188,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0630817413330078,0.844294548034668
19914,19.44707790815014,1002.560580576212,71.72664247599117,19.167077908150137,1002.6672230522032,62.32029028810598,609.0,2533.3212379955844,112.0,17.7966360566901,6.0046515464782715,1.5805414915084839,1.6251473426818848,6.748448371887207,13.024471282958984,3.148472547531128,2.556962728500366,5.877471754111438e-39,1.1915947088798096,0.9708853363990784,0.7058320641517639,3.857783794403076,0.922635555267334,2.370922088623047,8.623065948486328,2.6577043533325195,0.844294548034668
6121,15.99,994.27,55.52,15.33,994.89,47.55,777.0,2865.0,113.0,4.5445237159729,1.0007752180099487,0.7902707457542419,0.8125736713409424,4.217780113220215,6.512235641479492,1.3493454456329346,1.278481364250183,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.35291603207588196,1.928891897201538,0.922635555267334,1.580614686012268,3.5929441452026367,3.1892452239990234,1.688589096069336
9611,13.38,1013.13,53.96,12.89,1013.53,41.1,1643.0,3512.0,116.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.8435560464859009,1.0853725671768188,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0630817413330078,0.844294548034668
9904,10.08,994.31,54.85,9.5,994.93,49.52,1628.0,3535.0,118.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.8435560464859009,1.0853725671768188,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0630817413330078,0.844294548034668
11372,19.16070693131825,1001.7935346565913,63.38388421163409,18.81023720801926,1002.1977699875147,49.04541276766394,368.6235174498796,2818.9058989155515,112.0,5.877471754111438e-39,1.0007752180099487,5.877471754111438e-39,0.7265357113957072,5.061336517333984,13.024471282958984,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,2.1261634826660156,0.844294548034668
1032,19.08,978.14,74.71,19.07,978.65,76.27,1150.0,3166.0,114.0,10.225178718566895,4.003100872039795,1.5805414915084839,0.8125736713409424,5.061336517333984,11.939098358154297,1.3493454456329346,1.7046418190002441,5.877471754111438e-39,1.0716575384140015,5.877471754111438e-39,0.7058320641517639,2.8933379650115967,0.922635555267334,1.580614686012268,5.030121803283691,2.1261634826660156,0.844294548034668
10316,20.99,993.29,55.39,21.67,993.5,24.76,2473.0,3749.0,111.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0853725671768188,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.0630817413330078,0.844294548034668
12234,11.976022584419063,992.7884190732251,50.7157089080564,11.547227101302877,993.1653826867321,46.66618569508122,335.5445420260575,1736.0313676362662,113.0,11.361309051513672,2.0015504360198975,1.5805414915084839,1.6251473426818848,5.904892444610596,11.478802187969215,2.698690891265869,2.1308023929595947,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.7058320641517639,1.928891897201538,0.922635555267334,1.580614686012268,6.467299461364746,2.1261634826660156,0.844294548034668
5447,16.92,988.75,54.38,16.34,989.18,43.74,490.0,2394.0,113.0,10.225178718566895,2.0015504360198975,1.5805414915084839,0.8125736713409424,5.061336517333984,9.768353462219238,2.2489089965820312,2.1308023929595947,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.7058320641517639,1.928891897201538,0.922635555267334,1.580614686012268,5.748710632324219,2.1261634826660156,0.844294548034668
11886,17.364143820585877,1005.4523202242676,70.42353595514648,17.08091179815911,1005.5961601121338,62.94555224669442,506.0,1379.646404485353,111.0,14.769701957702637,3.0023257732391357,1.5805414915084839,1.6251473426818848,6.748448371887207,13.024471282958984,3.148472547531128,2.556962728500366,5.877471754111438e-39,1.0716575384140015,0.6570930182931183,0.7058320641517639,3.857783794403076,0.922635555267334,3.161229372024536,9.827994085459167,2.6577043533325195,0.844294548034668
26170,13.547524503786521,995.925983915048,56.64360643398074,13.002163860388446,996.7516561942713,62.18454134145584,1214.8967077378818,3427.680321699037,115.53606433980744,5.877471754111438e-39,0.4642953114717986,5.877471754111438e-39,0.8125736713409424,3.3742241859436035,6.512235641479492,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,2.6577043533325195,0.844294548034668
5331,15.87,978.15,57.41,14.88,978.75,60.55,465.0,2235.0,113.0,11.361309051513672,2.0015504360198975,1.5805414915084839,0.8125736713409424,5.904892444610596,10.85372543334961,2.698690891265869,2.1308023929595947,5.877471754111438e-39,0.7144383192062378,5.877471754111438e-39,0.7058320641517639,1.928891897201538,0.922635555267334,1.580614686012268,6.467299461364746,2.1261634826660156,0.844294548034668
8576,10.85,965.54,65.17,10.37,966.53,65.5,2022.0,4108.0,116.0,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.8435560464859009,2.1707451343536377,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,0.3572191596031189,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,5.877471754111438e-39,1.5946226119995117,0.844294548034668
